instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,casual,registered,cnt
1,1/1/2011,1,0,1,0,6,0,2,331,654,985
2,1/2/2011,1,0,1,0,0,0,2,131,670,801
3,1/3/2011,1,0,1,0,1,1,1,120,1229,1349
4,1/4/2011,1,0,1,0,2,1,1,108,1454,1562
5,1/5/2011,1,0,1,0,3,1,1,82,1518,1600
6,1/6/2011,1,0,1,0,4,1,1,88,1518,1606
7,1/7/2011,1,0,1,0,5,1,2,148,1362,1510
8,1/8/2011,1,0,1,0,6,0,2,68,891,959
9,1/9/2011,1,0,1,0,0,0,1,54,768,822
10,1/10/2011,1,0,1,0,1,1,1,41,1280,1321
11,1/11/2011,1,0,1,0,2,1,2,43,1220,1263
12,1/12/2011,1,0,1,0,3,1,1,25,1137,1162
13,1/13/2011,1,0,1,0,4,1,1,38,1368,1406
14,1/14/2011,1,0,1,0,5,1,1,54,1367,1421
15,1/15/2011,1,0,1,0,6,0,2,222,1026,1248
16,1/16/2011,1,0,1,0,0,0,1,251,953,1204
17,1/17/2011,1,0,1,1,1,0,2,117,883,1000
18,1/18/2011,1,0,1,0,2,1,2,9,674,683
19,1/19/2011,1,0,1,0,3,1,2,78,1572,1650
20,1/20/2011,1,0,1,0,4,1,2,83,1844,1927
21,1/21/2011,1,0,1,0,5,1,1,75,1468,1543
22,1/22/2011,1,0,1,0,6,0,1,93,888,981
23,1/23/2011,1,0,1,0,0,0,1,150,836,986
24,1/24/2011,1,0,1,0,1,1,1,86,1330,1416
25,1/25/2011,1,0,1,0,2,1,2,186,1799,1985
26,1/26/2011,1,0,1,0,3,1,3,34,472,506
27,1/27/2011,1,0,1,0,4,1,1,15,416,431
28,1/28/2011,1,0,1,0,5,1,2,38,1129,1167
29,1/29/2011,1,0,1,0,6,0,1,123,975,1098
30,1/30/2011,1,0,1,0,0,0,1,140,956,1096
31,1/31/2011,1,0,1,0,1,1,2,42,1459,1501
32,2/1/2011,1,0,2,0,2,1,2,47,1313,1360
33,2/2/2011,1,0,2,0,3,1,2,72,1454,1526
34,2/3/2011,1,0,2,0,4,1,1,61,1489,1550
35,2/4/2011,1,0,2,0,5,1,2,88,1620,1708
36,2/5/2011,1,0,2,0,6,0,2,100,905,1005
37,2/6/2011,1,0,2,0,0,0,1,354,1269,1623
38,2/7/2011,1,0,2,0,1,1,1,120,1592,1712
39,2/8/2011,1,0,2,0,2,1,1,64,1466,1530
40,2/9/2011,1,0,2,0,3,1,2,53,1552,1605
41,2/10/2011,1,0,2,0,4,1,1,47,1491,1538
42,2/11/2011,1,0,2,0,5,1,1,149,1597,1746
43,2/12/2011,1,0,2,0,6,0,1,288,1184,1472
44,2/13/2011,1,0,2,0,0,0,1,397,1192,1589
45,2/14/2011,1,0,2,0,1,1,1,208,1705,1913
46,2/15/2011,1,0,2,0,2,1,1,140,1675,1815
